"VteID";"DtVte";"Canal";"StatutCde";"ProdID";"Qt";"TxRem";"MttBrutTTC";"MttTTcNet";"CstLigne";"MagID";"VndID";"CustNo"
"V000024";"02-01-2024";"Magasin";"LIVREE";"P0059";"1";"5,00";"40,00";"38,00";"19,23";"M03";"V06";"C0120"
"V000025";"02-01-2024";"Magasin";"Livree";"P0003";"2";"0,00";"1420,00";"1420,00";"790,66";"M02";"V05";"C0154"
"V000026";"02-01-2024";"Magasin";"encours";"P0002";"2";"0,00";"1400,00";"1400,00";"705,52";"M14";"V32";"C0049"
"V000027";"02-01-2024";"MAGASIN";"Livree";"P0001";"1";"0,00";"1055,00";"1055,00";"627,64";"M19";"V46";"C0195"
"V000028";"02-01-2024";"MAGASIN";"EnCours";"P0063";"3";"0,00";"315,00";"315,00";"174,63";"M24";"V57";"C0146"
"V000029";"02-01-2024";"Magasin";"LIVREE";"P0005";"3";"10,00";"975,00";"877,50";"446,13";"M20";"V50";"C0168"
"V000030";"02-01-2024";"web";"LIVREE";"P0027";"1";"0,00";"220,00";"220,00";"106,66";"M11";"V23";"C0108"
"V000031";"02-01-2024";"Magasin";"Livree";"P0054";"1";"0,00";"160,00";"160,00";"77,44";"M20";"V48";"C0053"
"V000032";"02-01-2024";"Magasin";"Livree";"P0063";"2";"0,00";"210,00";"210,00";"116,42";"M17";"V40";"C0149"
"V000033";"02-01-2024";"Magasin";"Livree";"P0031";"1";"0,00";"150,00";"150,00";"92,24";"M18";"V44";"C0196"
"V000034";"02-01-2024";"Magasin";"livree";"P0023";"3";"0,00";"2100,00";"2100,00";"1213,71";"M07";"V14";"C0207"
"V000035";"02-01-2024";"Magasin";"LIVREE";"P0063";"2";"10,00";"210,00";"189,00";"116,42";"M08";"V16";"C0091"
"V000036";"02-01-2024";"magasin";"LIVREE";"P0001";"1";"0,00";"1055,00";"1055,00";"627,64";"M09";"V18";"C0103"
"V000037";"03-01-2024";"web";"EnCours";"P0020";"3";"5,00";"1155,00";"1097,25";"653,91";"M09";"V19";"C0099"
"V000038";"03-01-2024";"Magasin";"Livree";"P0039";"3";"0,00";"4455,00";"4455,00";"2020,53";"M06";"V12";"C0157"
"V000039";"03-01-2024";"Magasin";"Annulee";"P0025";"2";"0,00";"110,00";"110,00";"64,74";"M04";"V08";"C0082"
"V000040";"03-01-2024";"Web";"EnCours";"P0003";"4";"0,00";"2840,00";"2840,00";"1581,32";"M15";"V35";"C0097"
"V000041";"03-01-2024";"MAGASIN";"EnCours";"P0023";"1";"0,00";"700,00";"700,00";"404,57";"M21";"V52";"C0157"
"V000042";"03-01-2024";"Web";"LIVREE";"P0023";"1";"0,00";"700,00";"700,00";"404,57";"M23";"V56";"C0197"
"V000043";"03-01-2024";"MAGASIN";"LIVREE";"P0011";"1";"0,00";"1150,00";"1150,00";"671,97";"M17";"V42";"C0147"
"V000044";"03-01-2024";"web";"Livree";"P0063";"2";"0,00";"210,00";"210,00";"116,42";"M16";"V38";"C0142"
"V000045";"03-01-2024";"Magasin";"EnCours";"P0057";"2";"0,00";"40,00";"40,00";"21,78";"M19";"V46";"C0053"
"V000046";"03-01-2024";"Magasin";"EnCours";"P0022";"1";"5,00";"430,00";"408,50";"205,70";"M09";"V18";"C0151"
"V000047";"03-01-2024";"Magasin";"livree";"P0024";"1";"0,00";"770,00";"770,00";"465,89";"M16";"V38";"C0053"
"V000048";"03-01-2024";"Magasin";"LIVREE";"P0003";"3";"0,00";"2130,00";"2130,00";"1185,99";"M12";"V27";"C0187"
"V000049";"03-01-2024";"Magasin";"Livree";"P0013";"2";"0,00";"1500,00";"1500,00";"676,36";"M04";"V09";"C0155"
"V000050";"03-01-2024";"magasin";"Livree";"P0029";"1";"0,00";"285,00";"285,00";"169,00";"M04";"V09";"C0150"
"V000051";"03-01-2024";"Magasin";"LIVREE";"P0030";"2";"5,00";"530,00";"503,50";"251,98";"M02";"V05";"C0161"
"V000052";"03-01-2024";"Magasin";"Livree";"P0022";"3";"10,00";"1290,00";"1161,00";"617,10";"M22";"V54";"C0108"
"V000053";"04-01-2024";"Magasin";"Livree";"P0037";"2";"0,00";"460,00";"460,00";"231,90";"M02";"V05";"C0027"
"V000054";"04-01-2024";"MAGASIN";"Livree";"P0017";"3";"10,00";"1350,00";"1215,00";"770,49";"M04";"V08";"C0136"
"V000055";"04-01-2024";"Magasin";"Livree";"P0003";"1";"0,00";"710,00";"710,00";"395,33";"M19";"V45";"C0068"
"V000056";"04-01-2024";"MAGASIN";"Annulee";"P0064";"1";"5,00";"70,00";"66,50";"35,86";"M15";"V36";"C0161"
"V000057";"04-01-2024";"magasin";"Livree";"P0051";"1";"5,00";"155,00";"147,25";"77,85";"M03";"V06";"C0119"
"V000058";"04-01-2024";"Web";"livree";"P0061";"3";"5,00";"420,00";"399,00";"226,41";"M08";"V17";"C0103"
"V000059";"04-01-2024";"MAGASIN";"Livree";"P0024";"1";"0,00";"770,00";"770,00";"465,89";"M24";"V57";"C0011"
"V000060";"04-01-2024";"magasin";"Livree";"P0047";"2";"0,00";"3330,00";"3330,00";"2008,14";"M14";"V32";"C0080"
"V000061";"04-01-2024";"Magasin";"livree";"P0015";"2";"0,00";"1100,00";"1100,00";"611,50";"M01";"V03";"C0131"
"V000062";"04-01-2024";"Magasin";"LIVREE";"P0024";"1";"0,00";"770,00";"770,00";"465,89";"M14";"V32";"C0114"
"V000063";"05-01-2024";"Web";"Livree";"P0050";"2";"0,00";"460,00";"460,00";"231,66";"M08";"V17";"C0212"
"V000064";"05-01-2024";"Web";"LIVREE";"P0064";"1";"0,00";"70,00";"70,00";"35,86";"M08";"V17";"C0017"
"V000065";"05-01-2024";"web";"livree";"P0022";"3";"0,00";"1290,00";"1290,00";"617,10";"M15";"V35";"C0082"
"V000066";"05-01-2024";"Magasin";"Livree";"P0014";"1";"0,00";"635,00";"635,00";"333,47";"M10";"V22";"C0038"
"V000067";"05-01-2024";"magasin";"encours";"P0023";"1";"5,00";"700,00";"665,00";"404,57";"M21";"V52";"C0132"
"V000068";"05-01-2024";"web";"LIVREE";"P0060";"1";"0,00";"40,00";"40,00";"20,46";"M14";"V32";"C0053"
"V000069";"05-01-2024";"Magasin";"Livree";"P0011";"2";"10,00";"2300,00";"2070,00";"1343,94";"M08";"V16";"C0157"
"V000070";"05-01-2024";"Magasin";"LIVREE";"P0001";"2";"0,00";"2110,00";"2110,00";"1255,28";"M09";"V19";"C0209"
"V000071";"05-01-2024";"web";"livree";"P0016";"1";"0,00";"385,00";"385,00";"178,74";"M22";"V53";"C0180"
"V000072";"05-01-2024";"Magasin";"LIVREE";"P0015";"2";"0,00";"1100,00";"1100,00";"611,50";"M01";"V03";"C0084"
"V000073";"06-01-2024";"magasin";"Livree";"P0011";"1";"0,00";"1150,00";"1150,00";"671,97";"M24";"V58";"C0063"
"V000074";"06-01-2024";"Magasin";"EnCours";"P0010";"1";"0,00";"955,00";"955,00";"512,94";"M12";"V27";"C0052"
"V000075";"06-01-2024";"MAGASIN";"LIVREE";"P0058";"3";"0,00";"195,00";"195,00";"93,93";"M24";"V57";"C0195"
"V000076";"06-01-2024";"Web";"Livree";"P0051";"2";"5,00";"310,00";"294,50";"155,70";"M21";"V51";"C0116"
"V000077";"06-01-2024";"Web";"LIVREE";"P0049";"1";"0,00";"1770,00";"1770,00";"798,07";"M16";"V38";"C0042"
"V000078";"06-01-2024";"magasin";"Livree";"P0002";"1";"0,00";"700,00";"700,00";"352,76";"M08";"V16";"C0048"
"V000079";"06-01-2024";"magasin";"livree";"P0019";"2";"0,00";"1070,00";"1070,00";"614,96";"M01";"V03";"C0181"
"V000080";"06-01-2024";"MAGASIN";"Annulee";"P0021";"1";"5,00";"410,00";"389,50";"189,41";"M23";"V56";"C0004"
"V000081";"06-01-2024";"WEB";"LIVREE";"P0010";"2";"0,00";"1910,00";"1910,00";"1025,88";"M22";"V54";"C0037"
"V000082";"06-01-2024";"WEB";"Livree";"P0019";"1";"0,00";"535,00";"535,00";"307,48";"M04";"V08";"C0116"
"V000083";"06-01-2024";"Magasin";"Livree";"P0013";"2";"0,00";"1500,00";"1500,00";"676,36";"M14";"V33";"C0063"
"V000084";"06-01-2024";"Magasin";"livree";"P0056";"1";"5,00";"25,00";"23,75";"12,15";"M23";"V55";"C0205"
"V000085";"06-01-2024";"Magasin";"Livree";"P0002";"1";"0,00";"700,00";"700,00";"352,76";"M14";"V32";"C0024"
"V000086";"07-01-2024";"MAGASIN";"LIVREE";"P0001";"2";"5,00";"2110,00";"2004,50";"1255,28";"M16";"V38";"C0024"
"V000087";"07-01-2024";"WEB";"livree";"P0002";"1";"0,00";"700,00";"700,00";"352,76";"M21";"V52";"C0102"
"V000088";"07-01-2024";"Magasin";"Livree";"P0052";"1";"0,00";"135,00";"135,00";"72,51";"M14";"V33";"C0014"
"V000089";"07-01-2024";"magasin";"livree";"P0056";"1";"0,00";"25,00";"25,00";"12,15";"M21";"V51";"C0005"
"V000090";"07-01-2024";"web";"LIVREE";"P0058";"1";"0,00";"65,00";"65,00";"31,31";"M15";"V35";"C0037"
"V000091";"07-01-2024";"Magasin";"Livree";"P0018";"2";"0,00";"1730,00";"1730,00";"882,22";"M17";"V42";"C0028"
"V000092";"07-01-2024";"Magasin";"Livree";"P0007";"1";"0,00";"955,00";"955,00";"443,15";"M07";"V14";"C0178"
"V000093";"07-01-2024";"Web";"Livree";"P0030";"2";"0,00";"530,00";"530,00";"251,98";"M25";"V60";"C0173"
"V000094";"07-01-2024";"magasin";"encours";"P0063";"3";"10,00";"315,00";"283,50";"174,63";"M09";"V19";"C0013"
"V000095";"07-01-2024";"Magasin";"Livree";"P0063";"1";"0,00";"105,00";"105,00";"58,21";"M16";"V37";"C0211"
"V000096";"08-01-2024";"MAGASIN";"livree";"P0010";"2";"0,00";"1910,00";"1910,00";"1025,88";"M13";"V29";"C0156"
"V000097";"08-01-2024";"Magasin";"LIVREE";"P0007";"1";"0,00";"955,00";"955,00";"443,15";"M09";"V18";"C0076"
"V000098";"08-01-2024";"Magasin";"Livree";"P0016";"3";"0,00";"1155,00";"1155,00";"536,22";"M01";"V02";"C0191"
"V000099";"08-01-2024";"web";"LIVREE";"P0024";"2";"0,00";"1540,00";"1540,00";"931,78";"M06";"V12";"C0103"
"V000100";"08-01-2024";"WEB";"Livree";"P0009";"3";"0,00";"1515,00";"1515,00";"891,51";"M15";"V34";"C0023"
"V000101";"08-01-2024";"web";"livree";"P0009";"1";"5,00";"505,00";"479,75";"297,17";"M15";"V34";"C0079"
"V000102";"08-01-2024";"web";"LIVREE";"P0024";"1";"0,00";"770,00";"770,00";"465,89";"M07";"V14";"C0055"
"V000103";"08-01-2024";"Magasin";"livree";"P0016";"1";"0,00";"385,00";"385,00";"178,74";"M14";"V32";"C0048"
"V000104";"08-01-2024";"MAGASIN";"LIVREE";"P0021";"3";"0,00";"1230,00";"1230,00";"568,23";"M13";"V31";"C0040"
"V000105";"08-01-2024";"Magasin";"EnCours";"P0013";"1";"5,00";"750,00";"712,50";"338,18";"M03";"V07";"C0122"
"V000106";"08-01-2024";"Magasin";"Annulee";"P0043";"4";"10,00";"8920,00";"8028,00";"4795,88";"M15";"V36";"C0188"
"V000107";"08-01-2024";"web";"LIVREE";"P0064";"1";"0,00";"70,00";"70,00";"35,86";"M17";"V42";"C0196"
"V000108";"08-01-2024";"magasin";"Livree";"P0042";"1";"0,00";"2045,00";"2045,00";"1236,64";"M12";"V28";"C0103"
"V000109";"08-01-2024";"Magasin";"LIVREE";"P0003";"2";"0,00";"1420,00";"1420,00";"790,66";"M23";"V56";"C0095"
"V000110";"09-01-2024";"Magasin";"livree";"P0019";"2";"0,00";"1070,00";"1070,00";"614,96";"M11";"V23";"C0162"
"V000111";"09-01-2024";"Web";"Livree";"P0054";"1";"0,00";"160,00";"160,00";"77,44";"M14";"V33";"C0089"
"V000112";"09-01-2024";"Magasin";"Livree";"P0003";"1";"0,00";"710,00";"710,00";"395,33";"M25";"V60";"C0213"
"V000113";"09-01-2024";"Magasin";"Livree";"P0004";"1";"5,00";"960,00";"912,00";"561,87";"M04";"V08";"C0194"
"V000114";"09-01-2024";"Magasin";"Livree";"P0023";"2";"0,00";"1400,00";"1400,00";"809,14";"M04";"V09";"C0212"
"V000115";"09-01-2024";"Magasin";"Livree";"P0008";"3";"0,00";"1485,00";"1485,00";"731,28";"M23";"V56";"C0117"
"V000116";"09-01-2024";"web";"LIVREE";"P0015";"3";"0,00";"1650,00";"1650,00";"917,25";"M13";"V29";"C0012"
"V000117";"09-01-2024";"Magasin";"LIVREE";"P0047";"1";"5,00";"1665,00";"1581,75";"1004,07";"M16";"V37";"C0078"
"V000118";"09-01-2024";"Magasin";"Livree";"P0054";"1";"0,00";"160,00";"160,00";"77,44";"M24";"V58";"C0194"
"V000119";"09-01-2024";"WEB";"encours";"P0033";"1";"0,00";"50,00";"50,00";"22,73";"M01";"V01";"C0038"
"V000120";"09-01-2024";"Magasin";"Livree";"P0064";"2";"10,00";"140,00";"126,00";"71,72";"M01";"V01";"C0103"
"V000121";"09-01-2024";"Magasin";"LIVREE";"P0020";"1";"5,00";"385,00";"365,75";"217,97";"M19";"V46";"C0059"
"V000122";"10-01-2024";"magasin";"livree";"P0023";"3";"5,00";"2100,00";"1995,00";"1213,71";"M18";"V43";"C0038"
"V000123";"10-01-2024";"magasin";"LIVREE";"P0011";"1";"0,00";"1150,00";"1150,00";"671,97";"M17";"V41";"C0163"
"V000124";"10-01-2024";"magasin";"LIVREE";"P0024";"2";"0,00";"1540,00";"1540,00";"931,78";"M17";"V40";"C0189"
"V000125";"10-01-2024";"Magasin";"LIVREE";"P0060";"1";"0,00";"40,00";"40,00";"20,46";"M08";"V16";"C0023"
"V000126";"10-01-2024";"Magasin";"Livree";"P0015";"1";"0,00";"550,00";"550,00";"305,75";"M02";"V04";"C0192"
"V000127";"10-01-2024";"MAGASIN";"LIVREE";"P0050";"3";"0,00";"690,00";"690,00";"347,49";"M06";"V12";"C0178"
"V000128";"10-01-2024";"Magasin";"Livree";"P0001";"1";"0,00";"1055,00";"1055,00";"627,64";"M20";"V49";"C0131"
"V000129";"10-01-2024";"Magasin";"Livree";"P0004";"2";"0,00";"1920,00";"1920,00";"1123,74";"M04";"V09";"C0210"
"V000130";"10-01-2024";"MAGASIN";"LIVREE";"P0052";"2";"10,00";"270,00";"243,00";"145,02";"M16";"V38";"C0149"
"V000131";"10-01-2024";"WEB";"Livree";"P0031";"1";"0,00";"150,00";"150,00";"92,24";"M06";"V13";"C0066"
"V000132";"10-01-2024";"MAGASIN";"encours";"P0018";"3";"5,00";"2595,00";"2465,25";"1323,33";"M01";"V01";"C0047"
"V000133";"10-01-2024";"Magasin";"LIVREE";"P0043";"1";"0,00";"2230,00";"2230,00";"1198,97";"M18";"V44";"C0143"
"V000134";"10-01-2024";"Magasin";"LIVREE";"P0005";"1";"0,00";"325,00";"325,00";"148,71";"M11";"V25";"C0100"
"V000135";"10-01-2024";"Web";"Livree";"P0061";"3";"0,00";"420,00";"420,00";"226,41";"M06";"V13";"C0103"
"V000136";"10-01-2024";"Magasin";"livree";"P0012";"1";"0,00";"1010,00";"1010,00";"588,54";"M14";"V32";"C0033"
"V000137";"10-01-2024";"Web";"Annulee";"P0017";"1";"0,00";"450,00";"450,00";"256,83";"M01";"V03";"C0195"
"V000138";"11-01-2024";"Magasin";"Annulee";"P0018";"1";"0,00";"865,00";"865,00";"441,11";"M16";"V39";"C0175"
"V000139";"11-01-2024";"Web";"livree";"P0064";"3";"0,00";"210,00";"210,00";"107,58";"M09";"V19";"C0067"
"V000140";"11-01-2024";"magasin";"Annulee";"P0020";"1";"0,00";"385,00";"385,00";"217,97";"M19";"V45";"C0095"
"V000141";"11-01-2024";"Magasin";"livree";"P0015";"1";"0,00";"550,00";"550,00";"305,75";"M01";"V02";"C0121"
"V000142";"11-01-2024";"Magasin";"Livree";"P0020";"2";"0,00";"770,00";"770,00";"435,94";"M05";"V11";"C0161"
"V000143";"11-01-2024";"magasin";"Livree";"P0021";"2";"0,00";"820,00";"820,00";"378,82";"M21";"V52";"C0064"
"V000144";"11-01-2024";"web";"LIVREE";"P0060";"2";"0,00";"80,00";"80,00";"40,92";"M25";"V60";"C0084"
"V000145";"11-01-2024";"Web";"Livree";"P0041";"1";"0,00";"2225,00";"2225,00";"1348,70";"M12";"V26";"C0196"
"V000146";"11-01-2024";"MAGASIN";"Livree";"P0056";"2";"0,00";"50,00";"50,00";"24,30";"M18";"V43";"C0191"
"V000147";"11-01-2024";"Magasin";"Livree";"P0023";"1";"5,00";"700,00";"665,00";"404,57";"M23";"V56";"C0115"
"V000148";"11-01-2024";"Magasin";"Livree";"P0043";"2";"0,00";"4460,00";"4460,00";"2397,94";"M07";"V14";"C0059"
"V000149";"11-01-2024";"Magasin";"Livree";"P0057";"1";"0,00";"20,00";"20,00";"10,89";"M10";"V22";"C0005"
"V000150";"11-01-2024";"magasin";"LIVREE";"P0052";"3";"5,00";"405,00";"384,75";"217,53";"M09";"V18";"C0193"
"V000151";"11-01-2024";"MAGASIN";"LIVREE";"P0045";"1";"0,00";"325,00";"325,00";"149,19";"M11";"V23";"C0196"
"V000152";"11-01-2024";"magasin";"livree";"P0008";"1";"0,00";"495,00";"495,00";"243,76";"M17";"V40";"C0030"
"V000153";"11-01-2024";"Web";"Annulee";"P0055";"2";"0,00";"80,00";"80,00";"38,42";"M12";"V26";"C0028"
"V000154";"11-01-2024";"magasin";"Livree";"P0008";"3";"0,00";"1485,00";"1485,00";"731,28";"M05";"V11";"C0083"
"V000155";"12-01-2024";"MAGASIN";"Annulee";"P0053";"1";"0,00";"155,00";"155,00";"83,01";"M05";"V10";"C0097"
"V000156";"12-01-2024";"Magasin";"Livree";"P0054";"2";"0,00";"320,00";"320,00";"154,88";"M24";"V57";"C0067"
"V000157";"12-01-2024";"magasin";"LIVREE";"P0012";"1";"5,00";"1010,00";"959,50";"588,54";"M22";"V54";"C0021"
"V000158";"12-01-2024";"magasin";"EnCours";"P0035";"2";"0,00";"340,00";"340,00";"183,96";"M11";"V24";"C0044"
"V000159";"12-01-2024";"WEB";"Livree";"P0061";"1";"5,00";"140,00";"133,00";"75,47";"M14";"V32";"C0199"
"V000160";"12-01-2024";"Magasin";"Livree";"P0041";"1";"0,00";"2225,00";"2225,00";"1348,70";"M12";"V27";"C0043"
"V000161";"12-01-2024";"Magasin";"LIVREE";"P0053";"4";"0,00";"620,00";"620,00";"332,04";"M24";"V58";"C0098"
"V000162";"12-01-2024";"magasin";"livree";"P0022";"1";"5,00";"430,00";"408,50";"205,70";"M23";"V56";"C0067"
"V000163";"12-01-2024";"magasin";"Livree";"P0051";"1";"0,00";"155,00";"155,00";"77,85";"M01";"V02";"C0131"
"V000164";"12-01-2024";"Web";"EnCours";"P0042";"4";"0,00";"8180,00";"8180,00";"4946,56";"M22";"V53";"C0203"
"V000165";"12-01-2024";"magasin";"Livree";"P0043";"1";"0,00";"2230,00";"2230,00";"1198,97";"M08";"V17";"C0173"
"V000166";"12-01-2024";"Magasin";"livree";"P0024";"2";"0,00";"1540,00";"1540,00";"931,78";"M25";"V59";"C0088"
"V000167";"12-01-2024";"WEB";"Livree";"P0003";"1";"0,00";"710,00";"710,00";"395,33";"M18";"V43";"C0039"
"V000168";"12-01-2024";"Magasin";"Livree";"P0059";"2";"0,00";"80,00";"80,00";"38,46";"M10";"V20";"C0024"
"V000169";"12-01-2024";"Magasin";"encours";"P0056";"1";"0,00";"25,00";"25,00";"12,15";"M24";"V58";"C0175"
"V000170";"12-01-2024";"Magasin";"livree";"P0012";"3";"5,00";"3030,00";"2878,50";"1765,62";"M11";"V23";"C0153"
"V000171";"12-01-2024";"MAGASIN";"LIVREE";"P0006";"1";"0,00";"1075,00";"1075,00";"657,19";"M18";"V43";"C0027"
"V000172";"12-01-2024";"Magasin";"Livree";"P0002";"1";"5,00";"700,00";"665,00";"352,76";"M24";"V58";"C0204"
"V000173";"12-01-2024";"MAGASIN";"LIVREE";"P0017";"3";"5,00";"1350,00";"1282,50";"770,49";"M15";"V36";"C0133"
"V000174";"12-01-2024";"Web";"LIVREE";"P0047";"3";"0,00";"4995,00";"4995,00";"3012,21";"M01";"V01";"C0019"
"V000175";"13-01-2024";"Magasin";"Livree";"P0002";"1";"0,00";"700,00";"700,00";"352,76";"M08";"V17";"C0215"
"V000176";"13-01-2024";"Magasin";"Livree";"P0060";"1";"5,00";"40,00";"38,00";"20,46";"M23";"V55";"C0062"
"V000177";"13-01-2024";"WEB";"LIVREE";"P0045";"1";"5,00";"325,00";"308,75";"149,19";"M22";"V54";"C0190"
"V000178";"13-01-2024";"Magasin";"Annulee";"P0054";"2";"0,00";"320,00";"320,00";"154,88";"M20";"V49";"C0115"
"V000179";"13-01-2024";"web";"Livree";"P0002";"1";"0,00";"700,00";"700,00";"352,76";"M20";"V48";"C0084"
"V000180";"13-01-2024";"magasin";"Livree";"P0003";"1";"0,00";"710,00";"710,00";"395,33";"M20";"V50";"C0077"
"V000181";"13-01-2024";"Magasin";"Livree";"P0058";"1";"0,00";"65,00";"65,00";"31,31";"M17";"V41";"C0061"
"V000182";"13-01-2024";"Web";"Livree";"P0019";"1";"10,00";"535,00";"481,50";"307,48";"M10";"V20";"C0163"
"V000183";"13-01-2024";"Magasin";"livree";"P0063";"2";"5,00";"210,00";"199,50";"116,42";"M01";"V03";"C0166"
"V000184";"13-01-2024";"Magasin";"LIVREE";"P0059";"2";"0,00";"80,00";"80,00";"38,46";"M25";"V59";"C0023"
"V000185";"13-01-2024";"Magasin";"livree";"P0008";"3";"0,00";"1485,00";"1485,00";"731,28";"M22";"V53";"C0187"
"V000186";"14-01-2024";"MAGASIN";"LIVREE";"P0060";"1";"0,00";"40,00";"40,00";"20,46";"M10";"V21";"C0161"
"V000187";"14-01-2024";"WEB";"Livree";"P0053";"2";"0,00";"310,00";"310,00";"166,02";"M01";"V03";"C0039"
"V000188";"14-01-2024";"web";"LIVREE";"P0014";"2";"0,00";"1270,00";"1270,00";"666,94";"M02";"V04";"C0202"
"V000189";"14-01-2024";"WEB";"livree";"P0007";"1";"5,00";"955,00";"907,25";"443,15";"M24";"V58";"C0153"
"V000190";"14-01-2024";"Magasin";"livree";"P0002";"1";"0,00";"700,00";"700,00";"352,76";"M05";"V11";"C0187"
"V000191";"14-01-2024";"magasin";"LIVREE";"P0050";"2";"0,00";"460,00";"460,00";"231,66";"M09";"V19";"C0033"
"V000192";"14-01-2024";"MAGASIN";"Livree";"P0013";"2";"10,00";"1500,00";"1350,00";"676,36";"M05";"V11";"C0036"
"V000193";"14-01-2024";"magasin";"livree";"P0016";"2";"5,00";"770,00";"731,50";"357,48";"M23";"V56";"C0045"
"V000194";"14-01-2024";"MAGASIN";"Livree";"P0058";"2";"5,00";"130,00";"123,50";"62,62";"M18";"V43";"C0085"
"V000195";"14-01-2024";"magasin";"livree";"P0007";"1";"0,00";"955,00";"955,00";"443,15";"M14";"V32";"C0078"
"V000196";"14-01-2024";"Magasin";"Annulee";"P0013";"1";"0,00";"750,00";"750,00";"338,18";"M02";"V05";"C0120"
"V000197";"14-01-2024";"Magasin";"LIVREE";"P0008";"1";"0,00";"495,00";"495,00";"243,76";"M06";"V12";"C0079"
"V000198";"15-01-2024";"magasin";"Livree";"P0056";"2";"0,00";"50,00";"50,00";"24,30";"M02";"V05";"C0098"
"V000199";"15-01-2024";"WEB";"LIVREE";"P0061";"1";"0,00";"140,00";"140,00";"75,47";"M20";"V48";"C0099"
"V000200";"15-01-2024";"WEB";"Livree";"P0060";"3";"0,00";"120,00";"120,00";"61,38";"M11";"V24";"C0097"
"V000201";"15-01-2024";"Magasin";"Livree";"P0016";"1";"5,00";"385,00";"365,75";"178,74";"M09";"V18";"C0177"
"V000202";"15-01-2024";"Magasin";"Livree";"P0055";"2";"0,00";"80,00";"80,00";"38,42";"M07";"V15";"C0166"
"V000203";"15-01-2024";"MAGASIN";"LIVREE";"P0060";"3";"0,00";"120,00";"120,00";"61,38";"M04";"V08";"C0203"
"V000204";"15-01-2024";"Magasin";"livree";"P0018";"1";"0,00";"865,00";"865,00";"441,11";"M04";"V08";"C0063"
"V000205";"15-01-2024";"Magasin";"Livree";"P0064";"1";"10,00";"70,00";"63,00";"35,86";"M03";"V06";"C0110"
"V000206";"16-01-2024";"WEB";"Livree";"P0024";"2";"0,00";"1540,00";"1540,00";"931,78";"M08";"V16";"C0043"
